int,int
Level,MaxExperience
캐릭터 레벨,캐릭터 최대 경험치
@,
1,1500
2,3000
3,4500
4,6000
5,7500
6,9000
7,10500
8,12000
9,13500
10,15000
11,16500
12,18000
13,19500
14,21000
15,22500
16,24000
17,25500
18,27000
19,28500
20,30000
21,31500
22,33000
23,34500
24,36000
25,37500
26,39000
27,40500
28,42000
29,43500
30,45000
31,46500
32,48000
33,49500
34,51000
35,52500
36,54000
37,55500
38,57000
39,58500
40,60000
41,61500
42,63000
43,64500
44,66000
45,67500
46,69000
47,70500
48,72000
49,73500
50,75000
51,76500
52,78000
53,79500
54,81000
55,82500
56,84000
57,85500
58,87000
59,88500
60,90000
61,91500
62,93000
63,94500
64,96000
65,97500
66,99000
67,100500
68,102000
69,103500
70,105000
71,106500
72,108000
73,109500
74,111000
75,112500
76,114000
77,115500
78,117000
79,118500
80,120000
