int,int,int,int,int,int,int,int,int
WorldIdx,StageIdx,MinGoldDropValue,MaxGoldDropValue,DropItem1Index,DropItem2Index,DropItem3Index,DropItem4Index,DropItem5Index
월드 IDX,스테이지 IDX,드랍하는 골드의 최소값,드랍하는 골드의 최대값,드랍하는 아이템1 인덱스,드랍하는 아이템2 인덱스,드랍하는 아이템3 인덱스,드랍하는 아이템4 인덱스,드랍하는 아이템5 인덱스
@,,,,,,,,
0,0,1,1000,5000,5001,-1,-1,-1
1,1,100,500,5000,5001,-1,-1,-1
1,2,0,0,-1,-1,-1,-1,-1
1,3,0,0,-1,-1,-1,-1,-1
1,4,0,0,-1,-1,-1,-1,-1
1,5,0,0,-1,-1,-1,-1,-1
1,6,0,0,-1,-1,-1,-1,-1
1,7,0,0,-1,-1,-1,-1,-1
1,8,0,0,-1,-1,-1,-1,-1
